야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,1일최대수용인원수,편의시설,안전시설,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
오션파크,야영장,36.67449205,126.2808664,충청남도 태안군 남면 몽산포길 161,충청남도 태안군 남면 몽산리 782-13,041-672-3043,2,104,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
돌고래오토캠핑장,야영장,36.67421287,126.2693467,충청남도 태안군 남면 몽대로 512-21,충청남도 태안군 남면 몽산리 661-4,041-000-0000,1,24,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
한마음오토캠핑장,야영장,36.42346525,126.3612292,충청남도 태안군 고남면 큰장돌길 283-22,충청남도 태안군 고남면 장곡리 617-1,041-000-0000,8,16,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
만리포미소카라반,야영장,36.783852,126.1403699,충청남도 태안군 소원면 만리포2길 112-1,충청남도 태안군 소원면 모항리 1325-120,041-000-0000,3,12,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
곰섬야영장,야영장,36.58852961,126.2911942,충청남도 태안군 남면 곰섬로 500-17,충청남도 태안군 남면 신온리 903-34,041-000-0000,52,208,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
청산야영장,야영장,36.81802008,126.2803911,충청남도 태안군 원북면 청산길 279,충청남도 태안군 원북면 청산리 254-11,041-000-0000,4,16,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
만리포몰디브,야영장,36.79636659,126.1480549,충청남도 태안군 소원면 천리포1길 143-22,충청남도 태안군 소원면 의항리 977-26,041-000-0000,1,52,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
돌고래펜션야영장,야영장,36.673721,126.269053,충청남도 태안군 남면 몽대로 517,충청남도 태안군 남면 몽산리 661-1,041-000-0000,1,20,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
그림나래 힐링캠프,야영장,36.71867627,126.2449546,충청남도 태안군 근흥면 궁틀길 62-51,,041-000-0000,2,24,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
구름포해수욕장카라반,야영장,36.83553929,126.1527145,충청남도 태안군 소원면 구름포길 117,충청남도 태안군 소원면 의항리 160-4,02-777-7009,1,44,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2020-01-28,6440000,충청남도
