개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,사용안내전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
봉덕3동 행정복지센터,주민자치센터  체력단련실,체육관,"토,일,법정 공휴일",9:00,18:00,0:00,0:00,N,"20","193.75",,방문+전화,,대구광역시 남구 중앙대로22길 100,대구광역시 남구 봉덕동 702-6,대구광역시 남구청,053-664-3789,35.8424354,128.595972,2020/12/17,"3440000",대구광역시 남구
대명1동 행정복지센터,행정복지센터 체력단련실,체육관,"토,일,법정 공휴일",9:00,18:00,0:00,0:00,N,"20","83.52",운동기구 12식,방문+전화,,대구광역시 남구 두류공원로 38,대구광역시 남구 대명동 1652-1,대구광역시 남구청,053-664-3801,35.8417305,128.5735803,2020/12/17,"3440000",대구광역시 남구
원주종합체육관,원주종합체육관,다목적경기장,"매주 월요일, 신정(1.1.), 설날(추석) 전날, 설날(추석), 설날(추석) 다음날, 3.1절, 광복절, 개천절,  선거일, 근로자의 날, 한글날, 관공서의 공휴일에 관한 규정 제3조에 따른 대체공휴일",6:00,22:00,6:00,18:00,Y,"4594","23035",전광판+음향방송,방문+전화,http://www.wonju.go.kr/sports/index.do,강원도 원주시 서원대로 281,강원도 원주시 명륜동 313,원주시시설관리공단,033-749-4717,37.33906088,127.9419117,2020/09/25,"4190000",강원도 원주시
매송체육공원 축구장,매송체육공원,축구장,N,6:00,22:00,6:00,22:00,Y,,"380",,,,,경기도 화성시 매송면 원평리 50-3,화성도시공사,,37.248637,126.929109,2020/05/24,"5530000",경기도 화성시
매송안보테마공원 축구장,매송안보테마공원,축구장,N,6:00,22:00,6:00,22:00,Y,,"180",,,,,경기도 화성시 매송면 원평리,화성도시공사,,37.246585,126.924325,2020/05/24,"5530000",경기도 화성시
마도근린공원 축구장,마도근린공원,축구장,N,6:00,22:00,6:00,22:00,Y,,"14350",,,,,경기도 화성시 마도면쌍송리673,화성도시공사,,37.18162,126.79006,2020/05/24,"5530000",경기도 화성시
동학산체육공원(11호) 축구장,동학산체육공원(11호),축구장,N,6:00,22:00,6:00,22:00,Y,,"7140",,,,,경기도 화성시 석우동 29-3,화성도시공사,,37.220787,127.078529,2020/05/24,"5530000",경기도 화성시
동학산공원(14호) 축구장,동학산공원(14호),축구장,N,6:00,22:00,6:00,22:00,Y,,"950",,,,,경기도 화성시 석우동 4,화성도시공사,,37.224136,127.075796,2020/05/24,"5530000",경기도 화성시
동탄센트럴파크 축구장,동탄센트럴파크,축구장,N,6:00,22:00,6:00,22:00,Y,,"15547",,,,,경기도 화성시 반송동59,화성도시공사,,37.20564,127.063584,2020/05/24,"5530000",경기도 화성시
동탄2 제8호 근린공원 축구장,동탄2 제8호 근린공원,축구장,N,6:00,22:00,6:00,22:00,Y,,"3200",,,,,경기도 화성시 청계동 527,화성도시공사,,37.200171,127.106919,2020/05/24,"5530000",경기도 화성시
